dealname,company_name,amount,data_consegna,createdate,dealstage,dealtype,description,pipeline,hs_forecast_probability,hs_deal_stage_probability,art14_trat,prodotti,quantita
26_MARSILIO ARTE_UPCYCLING BORSE INVENDUTE,MARSILIO ARTE,2000,09-03-2026,03-02-2026,SVILUPPO CAMPIONE,,,,50.0%,50.0%,false,,
25_ZALANDO_ZAINO,ZALANDO,6000,31-03-2026,29-10-2025,LEAD COLTIVAZIONE,,,,90.0%,90.0%,,,
26_FORTIMED_,FORTIMED,6000,02-04-2026,13-02-2026,PRESENTATIONSCHEDULED,,,,90.0%,90.0%,false,,
25_DE'LONGHI GROUP_ZAINO,DE'LONGHI GROUP,20000,06-04-2026,18-04-2025,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
25_FISCHBACHER 1819_SHOPPER,FISCHBACHER 1819,11000,06-04-2026,15-01-2026,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,false,,
25_LIDL_BUDGET_ART14,LIDL,120000,06-04-2026,28-05-2025,LEAD COLTIVAZIONE,,,,90.0%,90.0%,,,
25_TESYA GROUP,TESYA GROUP,12600,06-04-2026,28-10-2025,PRESENTATIONSCHEDULED,,"

CIAO A TUTTI, 
IN ALLEGATO ACCORDO REVISIONATO TESYA QUID 
PER 600 POUCH ETHAN  CON PRIMA TRANCE SU MARZO E SALDO SU APRILE 
HO DOVUTO E CHIESTO APPROVAZIONE @MANUELE ZANONI PER AGGIUNGERE 30 POUCH KEVIN, STESSO MATERIALE, STESSE, ZIP, STESSO RICAMO, STESSA FODERA IN VIRTÙ DI UN PROBABILE RIORDINO DI 1500 PEZZI. 

OPERATIVITÀ PER COME SOTTO. 

GRAZIE A TUTTI PER LA COLLABORAZIONE 

MARCO PENAZZI
CIAO A TUTTI, 
IN ALLEGATO BOZZA DI ACCORDO DI FORNITURA TESYA QUID PER 
600 POUCH ESSE CON PERSONALIZZAZIONE 
ACCETTANO 3% 
IMPORTO TOTALE: 12.000 EURO + IVA 
DELIVERY: PRIMO ACCONTO, SE POSSIBILE, NON TASSATIVO PER FINE FEBBRAIO 2026, 
SALDO SU MARZO ANCHE APRILE, 
SONO WELCOME KIT PER DIPENDENTI CHE DISTRIBUISCONO DURANTE L’ANNO E NON SU BASE EVENTO. 

IN RIFERIMENTO A @MARTINA CAGALLI
ENTRO INIZIO SETTIMANA PROSSIMA DEFINIRANNO OGNI DETTAGLIO: MATERIALE, ZIP E PERSONALIZZAZIONE 

A SEGUIRE PER OPERATIVITÀ DOPO APPROVAZIONE DI CUI SOPRA A @MARTINA CAGALLI: 
@MARA GIACOMAZZI SEI IN COPIA PER ANAGRAFICA NUOVO CLIENTE, PO, CONFERMA ORDINE, MAGO, AVZ CRM, EVENTUALI PORTALI. 
@MARTINA CAGALLI + @ISABELLA DELLEDONNE PER SBLOCCO TAGLIO E KIT 
@MATTEO BONETTI PER ACQUISTI 
@ANGELO VELTRI E @ALESSANDRO RAMPONI PER PIANIFICAZIONE E PRODUZIONE 
@MARTINA LIVIERO + @VANESSA CENTO SIETE IN COPIA PER DEFINIRE CONTENUTI E GRAFICA QUINDI STAMPA CARD COLLABO + OGNI EVENTUALE CHE POTETE SPINGERE COME EXTRA. 
@SILVIA AVESANI POLYBAG SINGOLA CON CARD DI COLLABO 
@FRANCO MAESTRELLO SPEDIZIONE COME EXTRA IN FATTURA E RICARICO. 

GRAZIE A TUTTI PER LA COLLABORAZIONE. 

MARCO PENAZZI
",,90.0%,60.0%,false,,
26_AIRC_FESTA DELLA MAMMA,AIRC - ASSOCIAZIONE ITALIANA PER LA RICERCA SUL CANCRO,5000,10-04-2026,28-01-2026,PREVENTIVO E NEGOZIAZIONE,,,,50.0%,50.0%,false,,
26_FALCONERI_ABITI,FALCONERI,16100,13-04-2026,15-01-2026,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,,,
26_MARELLA_ASTUCCIO UMBERTO,MARELLA,1000,13-04-2026,15-01-2026,PRESENTATIONSCHEDULED,,,,90.0%,90.0%,,,
25_EUROTEL,EUROTEL,13200,27-04-2026,03-11-2025,LEAD COLTIVAZIONE,,,,90.0%,90.0%,false,,
25_ISA S.P.A._TWILLY GUCCI,ISA S.P.A.,5000,30-04-2026,30-06-2025,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,,,
25_AIDP_SHOPPER,AIDP-ASSOCIAZIONE ITALIANA DIREZIONE PERSONALE,10000,11-05-2026,14-01-2026,PRESENTATIONSCHEDULED,,,,90.0%,90.0%,false,,
26_LUISS GUIDO CARLI_PER SHOP,LUISS GUIDO CARLI,20000,11-05-2026,15-01-2026,PRESENTATIONSCHEDULED,,,,90.0%,90.0%,false,,
25_IKEA_TASCA CINTURA,IKEA INTERNATIONAL,130000,29-05-2026,23-04-2025,LEAD COLTIVAZIONE,,,,90.0%,90.0%,,,
25_MOLESKINE_ASTUCCIO PORTACHIAVI,MOLESKINE,24000,29-05-2026,28-05-2025,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,false,,
26_MARSILIO ARTE_PRODOTTI VARI,MARSILIO ARTE,10000,29-05-2026,03-02-2026,SVILUPPO CAMPIONE,,,,80.0%,80.0%,false,,
25_RANA_BUDGET,RANA,94543.2,30-05-2026,22-04-2025,PRESENTATIONSCHEDULED,,,,90.0%,90.0%,true,,
26_MOVE VIAGGI INTERGEA_BEAUTY,MOVE VIAGGI,8000,08-06-2026,02-02-2026,APPOINTMENTSCHEDULED,,,,90.0%,90.0%,false,,
25_PESPOW DIOR S.P.A._SHOPPER WELCOME KIT_GIU26,PESPOW S.P.A.,8000,15-06-2026,30-06-2025,PRESENTATIONSCHEDULED,,,,90.0%,60.0%,,,
26_RICHEMONT,RICHEMONT,2000,19-06-2026,23-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
25_GRUPPO AUTOSERENISSIMA _PORTACHIAVI,GRUPPO AUTOSERENISSIMA,16000,30-06-2026,25-02-2026,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,false,,
26_SADESIGN ,SADESIGN,2000,30-06-2026,27-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_RITTAL RCS_,RITTAL RCS,65000,06-07-2026,02-02-2026,LEAD COLTIVAZIONE,,,,30.0%,30.0%,true,,
26_VITALE BARBERIS ,VITALE BARBERIS,2000,30-07-2026,25-02-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,false,,
25_GRUPPO AUTOSERENISSIMA_BORSONE NEW YOR,GRUPPO AUTOSERENISSIMA,6800,31-07-2026,25-02-2026,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,false,,
26_BIOLINE JATO'_VARIE,BIOLINE JATO',5000,31-07-2026,09-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_COMAC_VARIE,COMAC,5000,31-07-2026,09-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_L’ERBOLARIO_ VARIE,L’ERBOLARIO,5000,31-07-2026,09-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_ECORNATURASI_PRODOTTI CLIENTI,ECORNATURASI.IT,100000,17-08-2026,11-02-2026,LEAD COLTIVAZIONE,,,,80.0%,80.0%,false,,
26_PAKELO_REGALI DI NATALE,PAKELO.IT,13700,31-08-2026,22-01-2026,LEAD COLTIVAZIONE,,,,50.0%,50.0%,false,,
26_KERING_PORTACHIAVI,KERING,15000,01-09-2026,15-01-2026,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,false,,
26_MIAMO_GIFT,MIAMO.IT,10000,30-09-2026,09-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_FORTIMED_SET BERRETTE SCIARPE,FORTIMED,6000,01-10-2026,13-02-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,false,,
25_ERNST & YOUNG_NATALE,ERNEST&YOUNG,300000,05-10-2026,21-03-2025,PRESENTATIONSCHEDULED,NEWBUSINESS,,,90.0%,90.0%,false,,
26_GOLDEN POINT_FW26_BEAUTY OCT,GOLDEN POINT,54000,05-10-2026,15-01-2026,SVILUPPO CAMPIONE,,,,90.0%,90.0%,true,,
26_OTB_SHOPPER NATALE,OTB GROUP,45000,05-10-2026,15-01-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,true,,
26_PUBLICIS GROUPE ,PUBLICIS GROUPE,1000,05-10-2026,02-02-2026,LEAD COLTIVAZIONE,,,,30.0%,30.0%,false,,
25_LORO PIANA_DEBRANDING,LORO PIANA,15000,12-10-2026,15-04-2025,PREVENTIVO E NEGOZIAZIONE,,,,60.0%,60.0%,,,
25_MONDE_BUDGETART14,MONDE,29000,12-10-2026,23-09-2025,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,true,,
26_SORMA_NATALE,SORMA,30000,12-10-2026,16-01-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,,,
25_PETTENON COSMETIC_BUDGETART14,PETTENON COSMETIC,84850,24-10-2026,30-06-2025,LEAD COLTIVAZIONE,,,,90.0%,90.0%,,,
26_AVIOPARKING,AVIOPARKING,5000,30-10-2026,13-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_VIVIENNE WESTWOOD _ PRODOTTI VARI,VIVIENNE WESTWOOD,20000,31-10-2026,29-01-2026,SVILUPPO CAMPIONE,,,,50.0%,50.0%,false,,
26_VERALLIA_BUDGET,VERALLIA,42000,02-11-2026,16-01-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,true,,
26_UNIFARCO DOLOMIA_SACCHETTO,UNIFARCO,110500,03-11-2026,14-01-2026,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,false,,
26_VITTORIA ASSICURAZIONI,VITTORIA ASSICURAZIONI S.P.A.,30000,20-11-2026,10-02-2026,LEAD COLTIVAZIONE,,,,50.0%,50.0%,false,,
26_GRUPPO CONTEC _ REGALI NATALE,GRUPPO CONTEC,6000,30-11-2026,10-02-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,false,,
25_COSTA CROCIERE,COSTA CROCIERE FOUNDATION,70000,31-12-2026,30-05-2025,LEAD COLTIVAZIONE,,,,10.0%,10.0%,,,
26_ACTIONAID,ACTIONAID,5000,31-12-2026,26-01-2026,LEAD COLTIVAZIONE,,,,50.0%,50.0%,false,,
26_AGSM-MAGIS_CAMPIONATURA,AGSM,3500,31-12-2026,12-06-2025,LEAD COLTIVAZIONE,,,,60.0%,60.0%,,,
26_ZANARDI FONDERIE_BUDGETART14,ZANARDI FONDERIE,27000,31-12-2026,02-02-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,true,,
