STATO,DEAL NAME,DATA CREAZ.,PRIORITÀ,DEADLINE,LEAD T.,RESIDUI,AZIENDA,BDG CLIENTE,BDG DIBA,OWNER,PRODUCT M.,PRODOTTI,QUANTITÀ
Chiusa/conseguita,25_INJOB _BORSA ABIGAIL PORTAPC,02/02/2026,,2026-02-13,11,3,INJOB,"€ 6.885,00",,Marco Penazzi,,BORSA; PORTA PC,160; 75
Consegnato,26_Meccarni_shoppingbag_evento,17/11/2025,,2026-02-13,88,3,MEC-CARNI S.P.A.,"€ 2.470,00",,giorgia magnabosco,,SHOPPER,260
SCHEDA COSTI,UP26_Levoni_grembiuli,03/02/2026,high,2026-02-13,10,3,Levoni,"€ 9.000,00",,Martina Cagalli,,GREMBIULE,500
Consegnato,25_MONDE_camici porta chiavi_feb26,19/01/2026,,2026-02-15,27,5,MONDE,"€ 4.800,00",,Marco Penazzi,,CAMICE; PORTACHIAVI,50; 150
Chiusa/conseguita,25_MAISON Alaïa_shopper,02/01/2026,,2026-02-16,45,6,MAISON Alaïa,"€ 5.400,00",,Marco Penazzi,,SHOPPER,300
Chiusa/conseguita,25_ZUCCATO HC_coda non consegnato,06/02/2026,,2026-02-16,10,6,ZUCCATO HC,"€ 11.550,00",,Marco Penazzi,,COPRIMATERASSO,462
Chiusa/conseguita,26_EBARA_portachiavi,29/01/2026,,2026-02-20,22,10,EBARA,"€ 1.824,00",,Marco Penazzi,,PORTACHIAVI,152
Chiusura persa,25_Cardioline_zaini,25/11/2025,,2026-02-20,87,10,Cardioline,"€ 4.800,00",,Marco Penazzi,,ZAINO DEREK,100
Chiusa/conseguita,25_AIA/NEGRONI_grembiuli pouch,12/06/2025,,2026-02-27,260,17,AIA,"€ 168.730,00",,Marco Penazzi,,GREMBIULE; POCHETTE; LOGISTICA; GREMBIULE; GREMBIULE; GREMBIULE; GREMBIULE,3000; 2000; 1; 1500; 1500; 2000; 2000
Chiusa/conseguita,"25_BLASTNESS GROUP HOLDING _zaini riordino ""special""",03/11/2025,,2026-02-27,116,17,BLASTNESS,"€ 10.000,00",,Marco Penazzi,,ZAINO,200
Chiusa/conseguita,25_BPM Gruppo_borsoni new york,13/01/2026,,2026-02-27,45,17,BPM Gruppo,"€ 20.800,00",,Marco Penazzi,,BORSONE NEW YORK,400
Chiusa/conseguita,25_COMUNE DI CAPRINO VR.SE_DIVISE,16/01/2026,,2026-02-27,42,17,COMUNE DI CAPRINO VR.SE,"€ 3.380,00",,Marco Penazzi,,,
Chiusa/conseguita,25_DATACOL SRL_VARIE,01/01/2026,,2026-02-27,57,17,DATACOL SRL,"€ 57.300,00",,Marco Penazzi,,ZAINO DEREK; BORSA; FELPA,600; 300; 450
Chiusa/conseguita,25_Generali Group_POCHETTE GO GENERALI_FEB 26,12/11/2025,,2026-02-27,107,17,Generali Group,"€ 2.100,00",,Marco Penazzi,,,
Chiusa/conseguita,25_Illumia_porta pc_riordino,05/11/2025,,2026-02-27,114,17,Illumia,"€ 1.920,00",,Marco Penazzi,,PORTA PC,100
Chiusa/conseguita,25_MONDE_felpa_feb 2026,30/10/2025,,2026-02-27,120,17,MONDE,"€ 16.500,00",,Marco Penazzi,,FELPA,300
Chiusa/conseguita,26_RANA_tovaglioli_feb,09/01/2026,,2026-02-27,49,17,RANA,"€ 5.750,00",,Marco Penazzi,,TOVAGLIOLO,250
Chiusa/conseguita,25_TECNOIMP,28/05/2025,,2026-02-27,275,17,TECNOIMP,"€ 2.550,00",,Marco Penazzi,,ZAINO,50
Chiusa/conseguita,25_VOLKSWAGENgroup ZAINI_FEB,28/05/2025,,2026-02-27,275,17,VOLKSWAGEN,"€ 2.500,00",,Marco Penazzi,,ZAINO,20
Chiusura persa,25_Sanmarco Informatica,12/11/2025,,2026-02-27,107,17,Sanmarco Informatica,"€ 35.000,00",,Marketing Quid,,BORSA,700
Consegnato,25_Intesa Sanpaolo_zaini,13/11/2025,,2026-02-27,106,17,Intesa Sanpaolo,"€ 7.800,00",,Marco Penazzi,,ZAINO,150
Preventivo/negoziazione,26_INJOB_budget ART14,15/01/2026,,2026-02-27,43,17,INJOB,"€ 17.115,00",,Marco Penazzi,,,
Chiusa/conseguita,26_BAULI_festadonna pchiavi,09/02/2026,,2026-03-02,21,20,BAULI,"€ 4.160,00",,Marco Penazzi,,PORTACHIAVI,1300
Chiusa/conseguita,26_PEDROLLO Spa_portachiavi festa donna,04/02/2026,,2026-03-02,26,20,PEDROLLO Spa,"€ 1.575,00",,Anna Fiscale,,PORTACHIAVI,150
Preventivo/negoziazione,26c_ERNST&YOUNG_astuccio umberto,04/02/2026,,2026-03-02,26,20,ERNEST&YOUNG,"€ 1.700,00",,Marco Penazzi,,ASTUCCIO UMBERTO,100
Chiusa/conseguita,25_OTB_shopper its,19/01/2026,,2026-03-05,45,23,OTB Group,"€ 5.990,40",,giorgia magnabosco,,SHOPPER,312
SVILUPPO CAMPIONE,UP26_Marsilio Arte_SHOPPER BACCA,07/02/2026,,2026-03-09,30,27,Marsilio Arte,"€ 4.050,00",,Giulia Pasquali,,SHOPPER,225
Sviluppo Campione,UP26_Marsilio Arte_upcycling shopper invendute,03/02/2026,medium,2026-03-09,34,27,Marsilio Arte,"€ 2.000,00",,Giulia Pasquali,,SHOPPER,400
Sviluppo Campione,26_Marsilio Arte_upcycling borse invendute,03/02/2026,medium,2026-03-09,34,27,Marsilio Arte,"€ 2.000,00",,giorgia magnabosco,,SHOPPER,400
Chiusa/conseguita,25_PETTENON Cosmetic_astuccio toby_mar,16/01/2026,,2026-03-10,53,28,PETTENON Cosmetic,"€ 24.000,00",,Marco Penazzi,,POUCH,1000
Chiusa/conseguita,26_Christian DIOR _camicie apr_riordino,02/02/2026,,2026-03-13,39,31,Christian DIOR,"€ 6.750,00",,Marco Penazzi,,CAMICIA,150
Chiusa/conseguita,26_KEMINOVA_FOULARD,05/01/2026,medium,2026-03-13,67,31,KEMINOVA,"€ 5.200,00",,giorgia magnabosco,,FOULARD,200
Chiusa/conseguita,25_FALCONERI-camicie_mar,23/09/2025,,2026-03-16,174,34,FALCONERI,"€ 145.550,00",,Marco Penazzi,,CAMICIA,2050
Chiusa/conseguita,25_Belmond_LuxuryTrainsServiziSrl,02/05/2025,,2026-03-28,330,46,Belmond,"€ 57.822,00",,Marco Penazzi,,BEAUTY; BEAUTY,2610; 1200
Chiusa/conseguita,26_DOLCE&GABBANA_BABY,02/02/2026,,2026-03-30,56,48,DOLCE&GABBANA,"€ 28.678,16",,Marco Penazzi,,FASCIA CAPELLI; ELASTICO CAPELLI; COPERTA; ELASTICO ARRICCIATO,760; 142; 509; 353
Chiusa/conseguita,26C_DOLCE&GABBANA - T-SHIRT UOMO,04/02/2026,,2026-03-30,54,48,DOLCE&GABBANA,"€ 60.359,50",,Marco Penazzi,,T-SHIRT; T-SHIRT,3207; 517
Consegnato,26_BRIONI_tende,30/01/2026,,2026-03-30,59,48,BRIONI,"€ 372,00",,Marco Penazzi,,FOULARD,31
Chiusa/conseguita,25_CALZEDONIA marchio TEZENIS_SCHRUNCIES26,06/02/2026,,2026-03-31,53,49,CALZEDONIA,"€ 801.960,00",,Anna Fiscale,,ELASTICO CAPELLI,246000
Chiusa/conseguita,25_Garibaldi Architects_SHOPPER_APR26,13/01/2026,,2026-03-31,77,49,Garibaldi Architects,"€ 4.230,00",,Marco Penazzi,,SHOPPER,300
Chiusa/conseguita,25_PETTENON Cosmetic_BORSONE_MAR,13/11/2025,,2026-03-31,138,49,PETTENON Cosmetic,"€ 48.000,00",,Marco Penazzi,,BORSONE NEW YORK,800
Chiusa/conseguita,25_atelier eme_MARRAS_KIMONO GAVOI,14/11/2025,,2026-03-31,137,49,atelier eme,"€ 26.377,20",,Marco Penazzi,,,
Lead/Coltivazione,25_ZALANDO_zaino,29/10/2025,,2026-03-31,153,49,ZALANDO,"€ 6.000,00",,Marco Penazzi,,ZAINO LEONE; ZAINO DEREK,150; 1
Preventivo/negoziazione,25_Gruppo Autoserenissima_portachiavi carpetta,09/02/2026,,2026-03-31,50,49,Gruppo Autoserenissima,"€ 31.000,00",,giorgia magnabosco,,PORTADOCUMENTI; PORTACHIAVI,1000; 2000
Chiusa/conseguita,25_GUCCI_varie_campionatura,13/01/2026,,2026-04-01,78,50,GUCCI,"€ 1.498,00",,Marco Penazzi,,BORSONE NEW YORK; SHOPPER; SHOPPER MORA,3; 70; 40
Chiusa/conseguita,25_KERING_SHOPPER,01/01/2026,,2026-04-01,90,50,KERING,"€ 50.002,50",,Marco Penazzi,,SHOPPER,8475
Lead/Coltivazione,25_DE'LONGHI Group_zaino,18/04/2025,,2026-04-06,353,55,DE'LONGHI Group,"€ 20.000,00",,Marco Penazzi,,ZAINO,500
Lead/Coltivazione,25_LIDL_budget_ART14,28/05/2025,,2026-04-06,313,55,LIDL,"€ 120.000,00",,Anna Fiscale,,,
Presentazione pianificata,25_TESYA Group,28/10/2025,,2026-04-06,160,55,TESYA Group,"€ 8.000,00",,Marco Penazzi,,POUCH ESSE,600
Preventivo/negoziazione,25_FISCHBACHER 1819_SHOPPER,15/01/2026,,2026-04-06,81,55,FISCHBACHER 1819,"€ 11.000,00",,Marco Penazzi,,SHOPPER,1000
Preventivo/negoziazione,26_AIRC_FESTA DELLA MAMMA,28/01/2026,medium,2026-04-10,72,59,AIRC - Associazione Italiana per la Ricerca sul Cancro,"€ 5.000,00",,giorgia magnabosco,,,
Presentazione pianificata,26_Marella_astuccio umberto,15/01/2026,,2026-04-13,88,62,Marella,"€ 1.000,00",,Marco Penazzi,,ASTUCCIO UMBERTO,100
Preventivo/negoziazione,26_FALCONERI_abiti,15/01/2026,,2026-04-13,88,62,FALCONERI,"€ 16.100,00",,Anna Fiscale,,Abito_Guess_SS26,230
Chiusa/conseguita,26_DAVINES_GREMBIULI,04/02/2026,,2026-04-15,70,64,DAVINES,"€ 31.250,00",,Marco Penazzi,,GREMBIULE,2500
Chiusa/conseguita,25_GOLDEN POINT_shopper,09/02/2026,,2026-04-15,65,64,GOLDEN POINT,"€ 30.100,00",,Marco Penazzi,,SHOPPER FOUR,3500
Chiusa/conseguita,26_PETTENON Cosmetic_BEAUTY,22/01/2026,,2026-04-15,83,64,PETTENON Cosmetic,"€ 45.000,00",,Marco Penazzi,,BEAUTY,3000
Chiusa/conseguita,26_PETTENON Cosmetic_BORSA YOGA_riordino,29/01/2026,,2026-04-15,76,64,PETTENON Cosmetic,"€ 13.800,00",,Marco Penazzi,,BORSA,600
Lead/Coltivazione,25_Eurotel,03/11/2025,,2026-04-27,175,76,Eurotel,"€ 13.200,00",,Marco Penazzi,,ZAINO LEONE,300
Chiusa/conseguita,26_CALZEDONIA_SCRUNCHIES integrazione_riordino,04/02/2026,,2026-04-30,85,79,CALZEDONIA,"€ 58.027,55",,Anna Fiscale,,ELASTICO ARRICCIATO; ELASTICO CAPELLI; FASCIA CAPELLI,4770; 4820; 2445
Chiusa/conseguita,26_RANA_felpa parizù_apr,27/01/2026,,2026-04-30,93,79,RANA,"€ 15.900,00",,Marco Penazzi,,FELPA,300
Presentazione pianificata,26_Cardioline_ZAINI,03/02/2026,,2026-04-30,86,79,Cardioline,"€ 12.000,00",,Marco Penazzi,,ZAINO,300
Preventivo/negoziazione,25_ISA S.p.a._twilly GUCCI,30/06/2025,,2026-04-30,304,79,ISA S.p.a.,"€ 5.000,00",,Marco Penazzi,,,
SVILUPPO CAMPIONE,UP26_BLASTNESS_SET MASCHERINA,07/02/2026,medium,2026-04-30,82,79,BLASTNESS,"€ 6.000,00",,Giulia Pasquali,,SET MASCHERINA,300
SVILUPPO CAMPIONE,UP26_Marsilio Arte_POCHETTE MALVA- Nuovo elemento Deal,07/02/2026,medium,2026-04-30,82,79,Marsilio Arte,"€ 3.600,00",,Giulia Pasquali,,POCHETTE,300
SVILUPPO CAMPIONE,UP26_Marsilio Arte _ASTUCCIO AGENDA,07/02/2026,medium,2026-04-30,82,79,Marsilio Arte,"€ 2.700,00",,Giulia Pasquali,,ASTUCCIO AGENDA,300
Chiusa/conseguita,25_PETTENON Cosmetic_twilly,02/01/2026,,2026-05-01,119,80,PETTENON Cosmetic,"€ 41.650,00",,Marco Penazzi,,BANDANA,3500
Presentazione pianificata,25_AIDP_shopper,14/01/2026,,2026-05-11,117,90,AIDP-Associazione Italiana Direzione Personale,"€ 10.000,00",,Marco Penazzi,,SHOPPER,1000
Presentazione pianificata,26_LUISS Guido Carli_per shop,15/01/2026,,2026-05-11,116,90,LUISS Guido Carli,"€ 20.000,00",,Marco Penazzi,,,
Chiusa/conseguita,26_Chimar_shopper_may,20/01/2026,,2026-05-15,115,94,Chimar,"€ 3.600,00",,Marco Penazzi,,SHOPPER FOUR,500
Chiusa/conseguita,26_Air Dolomiti_borsone new york_may,20/01/2026,,2026-05-20,120,99,Air Dolomiti,"€ 64.800,00",,Anna Fiscale,,BORSONE NEW YORK,1200
Chiusa/conseguita,26_KPMG_portaposate_mag,15/01/2026,,2026-05-25,130,104,KPMG,"€ 1.440,00",,Marco Penazzi,,PORTAPOSATE,150
Lead/Coltivazione,25_IKEA_tasca cintura,23/04/2025,,2026-05-29,401,108,IKEA INTERNATIONAL,"€ 130.000,00",,Anna Fiscale,,,
Preventivo/negoziazione,25_MOLESKINE_astuccio portachiavi,28/05/2025,,2026-05-29,366,108,MOLESKINE,"€ 24.000,00",,Marco Penazzi,,POUCH; PORTACHIAVI,2000; 3000
Sviluppo Campione,26_Marsilio Arte_prodotti vari,03/02/2026,medium,2026-05-29,115,108,Marsilio Arte,"€ 10.000,00",,giorgia magnabosco,,,
Presentazione pianificata,25_RANA_budget,22/04/2025,,2026-05-30,403,109,RANA,"€ 97.950,00",,Marco Penazzi,,,
Lead/Coltivazione,25_ZUCCATO_coprimaterasso,28/05/2025,,2026-06-01,369,111,ZUCCATO HC,"€ 45.000,00",,giorgia magnabosco,,,
Sviluppo Campione,25_Gruppo Autoserenissima_articoli vari_26,15/12/2025,high,2026-06-01,168,111,Gruppo Autoserenissima,"€ 12.568,00",,giorgia magnabosco,,POUCH ESSE; BORSA,200; 500
Appuntamento pianificato,26_Move Viaggi INTERGEA_beauty,02/02/2026,,2026-06-08,126,118,Move Viaggi,"€ 8.000,00",,Marco Penazzi,,BEAUTY,1000
Chiusa/conseguita,25_PETTENON_shopper_mar26,16/01/2026,,2026-06-08,143,118,PETTENON Cosmetic,"€ 4.900,00",,Marco Penazzi,,SHOPPER,500
Lead/Coltivazione,25_Vivienne Westwood,23/09/2025,,2026-06-08,258,118,Vivienne Westwood,"€ 4.000,00",,Marco Penazzi,,ELASTICO CAPELLI,500
Chiusa/conseguita,25_Sonepar Italia_budgetART14,23/09/2025,,2026-06-15,265,125,Sonepar Italia,"€ 134.500,00",,Marco Penazzi,,POLO; T-SHIRT; PANTALONE CARGO FORCE,2300; 2450; 528
Presentazione pianificata,25_Pespow DIOR S.p.A._shopper welcome kit_giu26,30/06/2025,,2026-06-15,350,125,Pespow S.p.A.,"€ 8.000,00",,Marco Penazzi,,SHOPPER,500
Chiusa/conseguita,25_Gentili Mosconi_twilly FENDI_coda pdz25,16/01/2026,,2026-06-30,165,140,Gentili Mosconi,"€ 5.289,60",,Marco Penazzi,,FOULARD,912
Chiusa/conseguita,25_KPMG_SHOPPER OVIEDO_30GIU,13/01/2026,,2026-06-30,168,140,KPMG,"€ 32.700,00",,Marco Penazzi,,SHOPPER OVIEDO,3000
Chiusa/conseguita,25_Zanardi Fonderie_divise,23/09/2025,,2026-06-30,280,140,Zanardi Fonderie,"€ 28.116,40",,Marco Penazzi,,T-SHIRT; FELPA; SCALDACOLLO; PATCH,346; 358; 230; 1072
Lead/Coltivazione,26_RITTAL RCS_,02/02/2026,,2026-07-06,154,146,RITTAL RCS,"€ 65.000,00",,Anna Fiscale,,,
Chiusa/conseguita,26_ITS digital academy_felpe zaino_RIORDINO,23/06/2025,,2026-07-30,402,170,ITS digital academy,"€ 33.400,00",,Marco Penazzi,,FELPA; ZAINO NIKKO,500; 500
Lead/Coltivazione,26_BIOLINE JATO'_varie,09/02/2026,medium,2026-07-31,172,171,BIOLINE JATO',"€ 5.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,26_Comac_varie,09/02/2026,medium,2026-07-31,172,171,Comac,"€ 5.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,26_L’ERBOLARIO_ varie,09/02/2026,,2026-07-31,172,171,L’ERBOLARIO,"€ 5.000,00",,giorgia magnabosco,,,
Chiusa/conseguita,25_KPMG_CASE UMBERTO_31aug26,18/11/2025,,2026-08-31,286,202,KPMG,"€ 4.350,00",,Marco Penazzi,,ASTUCCIO UMBERTO,500
Lead/Coltivazione,26_Pakelo_regali di NATALE,22/01/2026,medium,2026-08-31,221,202,pakelo.it,"€ 13.700,00",,Martina Cagalli,,POUCH ESSE; POUCH,1; 1
Lead/Coltivazione,25_KPMG_KIT NASCITA,28/05/2025,,2026-09-01,461,203,KPMG,"€ 16.733,00",,Marco Penazzi,,KIT NASCITA,290
Preventivo/negoziazione,26_KERING_portachiavi,15/01/2026,,2026-09-01,229,203,KERING,"€ 15.000,00",,Marco Penazzi,,PORTACHIAVI,1
Preventivo/negoziazione,26_GOLDEN POINT_ss26,21/03/2025,,2026-09-07,535,209,GOLDEN POINT,"€ 10.000,00",,Marco Penazzi,,BEAUTY,5000
Lead/Coltivazione,26_miamo_gift,09/02/2026,medium,2026-09-30,233,232,miamo.it,"€ 10.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,26_OTB_SHOPPER NATALE,15/01/2026,,2026-10-05,263,237,OTB Group,"€ 45.000,00",,giorgia magnabosco,,SHOPPER,
Lead/Coltivazione,26_Publicis Groupe,02/02/2026,,2026-10-05,245,237,Publicis Groupe,"€ 1.000,00",,Mara Giacomazzi,,,
Presentazione pianificata,25_ERNST & YOUNG_Natale,21/03/2025,high,2026-10-05,563,237,ERNEST&YOUNG,"€ 300.000,00",,Marco Penazzi,,REGALI DI NATALE,9000
Sviluppo Campione,26_GOLDEN POINT_fw26_beauty oct,15/01/2026,,2026-10-05,263,237,GOLDEN POINT,"€ 45.000,00",,Marco Penazzi,,BEAUTY,5000
Lead/Coltivazione,26_SORMA_Natale,16/01/2026,,2026-10-12,269,244,SORMA,"€ 35.000,00",,Marco Penazzi,,REGALI DI NATALE,1
Preventivo/negoziazione,25_Loro Piana_debranding,15/04/2025,,2026-10-12,545,244,Loro Piana,"€ 15.000,00",,Marco Penazzi,,,
Preventivo/negoziazione,25_MONDE_budgetART14,23/09/2025,,2026-10-12,384,244,MONDE,"€ 29.000,00",,Marco Penazzi,,,
Lead/Coltivazione,25_PETTENON Cosmetic_budgetART14,30/06/2025,,2026-10-24,481,256,PETTENON Cosmetic,"€ 84.850,00",,Marco Penazzi,,,
Sviluppo Campione,26_Vivienne Westwood _ prodotti vari,29/01/2026,medium,2026-10-31,275,263,Vivienne Westwood,"€ 20.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,26_VERALLIA_budget,16/01/2026,,2026-11-02,290,265,VERALLIA,"€ 42.000,00",,Marco Penazzi,,,
Preventivo/negoziazione,26_Unifarco DOLOMIA_Sacchetto,14/01/2026,,2026-11-03,293,266,UNIFARCO,"€ 110.500,00",,Marco Penazzi,,SACCHETTO,17000
Lead/Coltivazione,26_ACTIONAID,26/01/2026,medium,2026-12-31,339,324,ACTIONAID,"€ 5.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,25_Costa Crociere,30/05/2025,,2026-12-31,580,324,Costa Crociere Foundation,"€ 70.000,00",,Marco Penazzi,,,
Lead/Coltivazione,26_Zanardi Fonderie_BUDGETART14,02/02/2026,,2026-12-31,332,324,Zanardi Fonderie,"€ 27.000,00",,Marco Penazzi,,,
